station_id,station_name,latitude,longitude,temperature,humidity,observation_time,location,weather,wind_speed,wind_direction,air_pressure
466940,基隆,25.133314,121.740475,15.9,82.0,2026-03-03T16:20:00+08:00,基隆市仁愛區,陰,6.6,20.0,1014.8
466900,淡水,25.164889,121.448906,15.5,86.0,2026-03-03T16:20:00+08:00,新北市淡水區,陰,3.5,20.0,1015.2
466881,新北,24.959207,121.525196,15.3,95.0,2026-03-03T16:20:00+08:00,新北市新店區,陰,1.2,70.0,1015.0
466930,陽明山,25.162078,121.544547,11.2,94.0,2026-03-03T16:20:00+08:00,臺北市北投區,陰,6.0,20.0,946.3
466910,鞍部,25.182586,121.529731,9.6,100.0,2026-03-03T16:20:00+08:00,臺北市北投區,陰有雨,2.1,360.0,-99.0
467571,新竹,24.828575,121.01445,17.1,80.0,2026-03-03T16:20:00+08:00,新竹縣竹北市,陰,3.4,30.0,1012.5
467490,臺中,24.145736,120.684075,19.3,76.0,2026-03-03T16:20:00+08:00,臺中市北區,陰,1.7,340.0,1003.7
C0FA30,梧棲,24.256003,120.523381,17.9,80.0,2026-03-03T16:20:00+08:00,臺中市梧棲區,陰,7.0,360.0,-99.0
467350,澎湖,23.565503,119.563094,19.7,80.0,2026-03-03T16:20:00+08:00,澎湖縣馬公市,陰,5.9,30.0,1013.1
467650,日月潭,23.881325,120.90805,17.4,100.0,2026-03-03T16:20:00+08:00,南投縣魚池鄉,陰有霧,0.3,330.0,-99.0
467530,阿里山,23.508208,120.813242,9.9,100.0,2026-03-03T16:20:00+08:00,嘉義縣阿里山鄉,陰有靄,0.7,330.0,-99.0
467550,玉山,23.48718,120.95943,3.3,99.0,2026-03-03T16:20:00+08:00,南投縣信義鄉,陰,7.1,270.0,-99.0
467480,嘉義,23.495925,120.432906,18.8,88.0,2026-03-03T16:20:00+08:00,嘉義市西區,陰,3.0,10.0,1009.8
467410,臺南,22.99328,120.20492,21.0,80.0,2026-03-03T16:20:00+08:00,臺南市中西區,陰,4.4,10.0,1009.6
467441,高雄,22.730432,120.312516,24.2,81.0,2026-03-03T16:20:00+08:00,高雄市楠梓區,多雲,0.7,10.0,1010.5
467590,恆春,22.003897,120.746339,23.1,69.0,2026-03-03T16:20:00+08:00,屏東縣恆春鎮,多雲,4.5,50.0,1009.5
467080,宜蘭,24.763975,121.756528,16.0,91.0,2026-03-03T16:20:00+08:00,宜蘭縣宜蘭市,陰,2.3,30.0,1017.1
466990,花蓮,23.975128,121.613275,18.9,79.0,2026-03-03T16:20:00+08:00,花蓮縣花蓮市,陰,6.4,50.0,1014.0
467610,成功,23.097486,121.373428,19.4,82.0,2026-03-03T16:20:00+08:00,臺東縣成功鎮,陰,4.2,20.0,1010.8
467660,臺東,22.752211,121.154586,21.1,78.0,2026-03-03T16:20:00+08:00,臺東縣臺東市,陰,2.4,30.0,1013.7
467540,大武,22.35572,120.90374,21.2,76.0,2026-03-03T16:20:00+08:00,臺東縣大武鄉,陰,3.0,30.0,1013.5
467620,蘭嶼,22.0369,121.55843,18.7,99.0,2026-03-03T16:20:00+08:00,臺東縣蘭嶼鄉,多雲,8.5,20.0,975.9
466950,彭佳嶼,25.627975,122.079744,14.9,83.0,2026-03-03T16:20:00+08:00,基隆市中正區,陰,9.1,40.0,1006.2
467300,東吉島,23.25727,119.66762,20.3,84.0,2026-03-03T16:20:00+08:00,澎湖縣望安鄉,陰,14.4,20.0,1008.6
469020,南沙島,10.370203,114.364286,31.0,73.0,2026-03-03T16:20:00+08:00,高雄市旗津區,-99,1.2,10.0,1010.9
468100,東沙島,20.700856,116.73,23.2,89.0,2026-03-03T16:20:00+08:00,高雄市旗津區,-99,-99.0,-99.0,1011.7
467420,永康,23.038386,120.2367,20.8,82.0,2026-03-03T16:20:00+08:00,臺南市永康區,陰,4.5,360.0,1011.2
C2W030,金門(東),24.448431,118.451786,14.8,75.0,2026-03-03T16:20:00+08:00,金門縣金湖鎮,陰,5.5,30.0,-99.0
466920,臺北,25.037658,121.514853,15.9,87.0,2026-03-03T16:20:00+08:00,臺北市中正區,陰,3.6,100.0,1014.0
A0G720,彰師大,24.081389,120.556667,19.0,80.0,2026-03-03T16:20:00+08:00,彰化縣彰化市,陰,1.8,300.0,-99.0
A0Z080,合歡山,24.143186,121.284231,-99.0,-99.0,2026-03-03T16:20:00+08:00,花蓮縣秀林鄉,陰,-99.0,-99.0,-99.0
A0W080,吉貝,23.740011,119.604189,-99.0,-99.0,2026-03-03T16:20:00+08:00,澎湖縣白沙鄉,陰,-99.0,-99.0,-99.0
467110,金門,24.407306,118.289281,14.9,74.0,2026-03-03T16:20:00+08:00,金門縣金城鎮,陰,6.1,60.0,1013.5
467990,馬祖,26.169467,119.923158,11.8,82.0,2026-03-03T16:20:00+08:00,連江縣南竿鄉,陰,4.2,70.0,1009.4
A0K420,麥寮,23.798783,120.217717,18.8,81.0,2026-03-03T16:20:00+08:00,雲林縣麥寮鄉,陰,7.8,30.0,-99.0
467050,新屋,25.006725,121.047492,16.4,81.0,2026-03-03T16:20:00+08:00,桃園市新屋區,陰,7.9,50.0,1014.2
A2K570,古坑(花卉中心),23.63353,120.55239,18.3,92.0,2026-03-03T16:20:00+08:00,雲林縣古坑鄉,陰,1.3,20.0,-99.0
CAAH60,大安森林,25.02955,121.53628,15.0,91.0,2026-03-03T16:20:00+08:00,臺北市大安區,陰,0.3,90.0,-99.0
CAHA00,消防署訓練中心,23.82137,120.72293,18.1,92.0,2026-03-03T16:20:00+08:00,南投縣竹山鎮,陰,0.6,290.0,-99.0
467270,田中,23.873803,120.581286,17.5,92.0,2026-03-03T16:20:00+08:00,彰化縣田中鎮,陰,2.5,350.0,1008.5
CAC040,拉拉山,24.699317,121.427133,11.5,95.0,2026-03-03T16:20:00+08:00,桃園市復興區,陰,1.0,350.0,-99.0
CAW010,東引,26.358836,120.483631,12.3,76.0,2026-03-03T16:20:00+08:00,連江縣東引鄉,陰,6.8,60.0,-99.0
CAP070,高雄燈塔,22.614594,120.26468,24.1,82.0,2026-03-03T16:20:00+08:00,高雄市旗津區,多雲,1.1,180.0,-99.0
A0F010,武陵,24.352825,121.308286,14.7,90.0,2026-03-03T16:20:00+08:00,臺中市和平區,陰,1.8,170.0,-99.0
467280,後龍,24.648563,120.831834,17.6,76.0,2026-03-03T16:20:00+08:00,苗栗縣造橋鄉,陰,5.0,40.0,1011.1
467290,古坑,23.633639,120.551889,18.3,92.0,2026-03-03T16:20:00+08:00,雲林縣古坑鄉,陰,1.6,30.0,1002.6
